Numeros primos encontrados,Tempo de execução
121299,2350.0267
121299,2583.5605
121299,2466.0277
121299,2315.8904
121299,2295.9627
121299,2325.4255
121299,2289.5081
121299,2292.2714
121299,2188.1646
121299,2675.3127
121299,2355.116
121299,2302.5639
121299,2744.881
121299,2041.7899
121299,2444.4392
121299,2377.5282
121299,2423.1882
121299,2989.523
121299,2161.1813
121299,2500.1199
121299,2604.8986
121299,2546.4336
121299,2397.582
121299,2203.4344
121299,2161.8629
121299,2136.3283
121299,2119.7059
121299,2229.1881
121299,2407.5249
121299,2505.674
121299,2299.7562
121299,2972.8707
121299,2400.8073
121299,2299.1615
121299,2140.9425
121299,2232.3597
121299,2317.7584
121299,2402.8703
121299,2288.5937
121299,2295.7284
121299,2254.0
121299,2263.5936
121299,2199.469
121299,2254.1864
121299,2380.9299
121299,2478.6842
121299,2494.9298
121299,2559.6779
121299,2651.6733
121299,2312.6193
